frase,emocao
Sinto medo de não ter forças para continuar,medo  
Tenho medo de que o melhor já tenha passado,medo  
O medo invade minha mente sem permissão,medo  
Tenho medo do escuro dentro de mim,medo  
Sinto medo de tudo parecer normal demais,medo  
Tenho medo de que tudo seja uma ilusão,medo  
O medo é meu companheiro constante,medo  
Tenho medo de perder as pessoas aos poucos,medo  
Sinto medo de errar onde mais me esforço,medo  
Tenho medo de que nada faça sentido,medo  
O medo me espreita quando estou sozinho,medo  
Tenho medo de não encontrar meu caminho,medo  
Sinto medo de abrir mão do que gosto,medo  
Tenho medo de que as coisas não melhorem,medo  
O medo ocupa o espaço da esperança,medo  
Tenho medo de ser a causa dos meus fracassos,medo  
Sinto medo de prometer e não cumprir,medo  
Tenho medo do que as pessoas esperam de mim,medo  
O medo me impede de ser quem sou,medo  
Tenho medo de ser substituído,medo  
Sinto medo do vazio que fica quando tudo acaba,medo  
Tenho medo de tentar e não conseguir,medo  
O medo é um grito calado,medo  
Tenho medo de que tudo o que sinto não seja real,medo  
Sinto medo de que ninguém se importe,medo  
Tenho medo de deixar passar o que importa,medo  
O medo me rouba a confiança,medo  
Tenho medo do que posso descobrir em mim,medo  
Sinto medo de perder a razão,medo  
Tenho medo do fim,medo  
O medo se alimenta da minha insegurança,medo  
Tenho medo de ser apenas mais um,medo  
Sinto medo do que virá depois,medo  
Tenho medo de não conseguir lidar com o sucesso,medo  
O medo de tentar me prende onde estou,medo  
Tenho medo da solidão disfarçada de companhia,medo  
Sinto medo de aceitar o que não mereço,medo  
Tenho medo de perder tudo de novo,medo  
O medo me impede de respirar fundo,medo  
Tenho medo de confiar e me arrepender,medo  
Sinto medo de não fazer diferença,medo  
Tenho medo de cair no mesmo erro,medo  
O medo de falhar me impede de começar,medo  
Tenho medo de perder o controle das coisas simples,medo  
Sinto medo de ser o problema,medo  
Tenho medo de que o tempo leve tudo,medo  
O medo distorce minhas decisões,medo  
Tenho medo de não saber reagir,medo  
Sinto medo de que tudo o que fiz não valha nada,medo  
Tenho medo de nunca ser compreendido,medo  
O medo me coloca limites invisíveis,medo  
Tenho medo de me mostrar vulnerável,medo  
Sinto medo de não estar fazendo o certo,medo  
Tenho medo de nunca alcançar a paz,medo  
O medo é uma sombra que me persegue,medo  
Tenho medo de que a verdade doa demais,medo  
Sinto medo de não merecer o amor,medo  
Tenho medo de encarar meus sentimentos,medo  
O medo me faz escolher o mais fácil,medo  
Tenho medo de viver no passado,medo  
Sinto medo de estar sempre fingindo,medo  
Tenho medo de decepcionar quem confia em mim,medo  
O medo me rouba a espontaneidade,medo  
Tenho medo de ser esquecido pelo mundo,medo  
Sinto medo de desistir sem lutar,medo  
Tenho medo de não conseguir começar de novo,medo  
O medo me faz calar quando quero gritar,medo  
Tenho medo de admitir que estou mal,medo  
Sinto medo de nunca me sentir completo,medo  
Tenho medo de que todos se afastem,medo  
O medo impede minhas melhores versões,medo  
Tenho medo de não conseguir cuidar de mim,medo  
Sinto medo de não estar vivendo de verdade,medo  
Tenho medo do silêncio após a briga,medo  
O medo transforma meus dias em alerta constante,medo  
Tenho medo de olhar para dentro e não me reconhecer,medo  
Sinto medo da tristeza que acompanha o medo,medo  
Tenho medo de que nada mude,medo  
O medo me faz repetir o que jurei evitar,medo  
Tenho medo de depender de alguém,medo  
Sinto medo de ser esquecido por mim mesmo,medo  
Tenho medo da dor que ainda virá,medo  
O amor ilumina meus dias,amor  
Sinto meu coração cheio de amor,amor  
O sorriso dela me enche de alegria,amor  
Cada momento ao seu lado é especial,amor  
O amor me faz sentir vivo,amor  
Seu abraço é meu lugar seguro,amor  
A paixão que sinto é imensa,amor  
Amar é minha maior felicidade,amor  
Seu olhar me conquista sempre,amor  
O amor transforma tudo ao redor,amor  
Sinto que encontrei minha metade,amor  
O carinho dela me acalma,amor  
O amor nos fortalece a cada dia,amor  
Seu beijo é meu refúgio,amor  
O amor é a força que me move,amor  
Estar com ela é meu maior presente,amor  
O amor nos une mesmo à distância,amor  
Sinto que o amor é infinito,amor  
Seu toque me faz flutuar,amor  
O amor me dá esperança,amor  
Cada gesto dela é puro amor,amor  
O amor cura todas as feridas,amor  
Sinto uma paz enorme ao seu lado,amor  
O amor é minha luz na escuridão,amor  
Seu sorriso é meu motivo,amor  
Amar é a melhor sensação do mundo,amor  
O amor é um presente divino,amor  
Sinto meu coração bater por ela,amor  
O amor é o que me mantém forte,amor  
Estar juntos é a minha felicidade,amor  
Seu abraço me conforta,amor  
O amor nos faz crescer juntos,amor  
Sinto que nosso amor é eterno,amor  
O amor preenche todos os vazios,amor  
Cada dia ao seu lado é um sonho,amor  
O amor é a resposta para tudo,amor  
Sinto que ela é minha alma gêmea,amor  
O amor nos dá coragem para seguir,amor  
Seu olhar diz tudo sem palavras,amor  
O amor é minha inspiração diária,amor  
Estar com ela me faz melhor,amor  
O amor é a chave do meu coração,amor  
Sinto seu amor em cada gesto,amor  
O amor me transforma para melhor,amor  
Cada momento com ela é único,amor  
O amor é o meu abrigo seguro,amor  
Sinto seu perfume no ar,amor  
O amor é um presente que agradeço,amor  
Seu carinho me faz feliz,amor  
O amor é a luz que guia meus passos,amor  
Sinto que o amor é minha essência,amor  
Estar ao seu lado é a paz que procuro,amor  
O amor é um laço que nunca se quebra,amor  
Sinto seu calor mesmo à distância,amor  
O amor é a música do meu coração,amor  
Cada sorriso dela me conquista,amor  
O amor é o motivo do meu viver,amor  
Sinto que somos feitos um para o outro,amor  
O amor nos ensina a perdoar,amor  
Seu amor é meu porto seguro,amor  
O amor é a essência da minha vida,amor  
Sinto que o amor cura tudo,amor  
Estar com ela é um sonho realizado,amor  
O amor é a força que me sustenta,amor  
Seu beijo é doce como mel,amor  
O amor é a minha maior riqueza,amor  
Sinto que ela é minha luz,amor  
O amor nos une em qualquer distância,amor  
Cada palavra dela é um afago,amor  
O amor é minha felicidade completa,amor  
Sinto seu coração bater junto ao meu,amor  
O amor é o que me faz sorrir,amor  
Estar com ela é minha melhor escolha,amor  
O amor é a minha paz interior,amor  
Sinto que o amor é nossa essência,amor  
Seu abraço me faz esquecer o mundo,amor  
O amor é um caminho de alegria,amor  
Sinto que nosso amor é verdadeiro,amor  
O amor é a razão do meu sorriso,amor  
Cada momento juntos é inesquecível,amor  
O amor é um sonho que vivo,amor  
Sinto que ela é minha eterna paixão,amor  
O amor nos faz mais fortes,amor  
Seu olhar me enche de esperança,amor  
O amor é a base da nossa história,amor  
Sinto seu amor em cada abraço,amor  
Estar com ela me completa,amor  
O amor é a luz que nunca se apaga,amor  
Sinto que o amor é infinito entre nós,amor  
Seu sorriso é meu sol,amor  
O amor é um sentimento puro e verdadeiro,amor  
Sinto que ela é meu tudo,amor  
O amor nos guia para a felicidade,amor  
Cada toque dela me emociona,amor  
O amor é meu maior tesouro,amor  
Sinto seu carinho mesmo longe,amor  
Estar com ela é viver um sonho,amor  
O amor é a chama que aquece meu coração,amor  
Sinto que nosso amor é invencível,amor  
Seu beijo é meu melhor presente,amor  
O amor é o motivo do meu viver,amor  
Sinto que ela é minha razão de sorrir,amor  
O amor nos dá forças para vencer,amor  
Cada palavra dela é um poema,amor  
O amor é o elo que nos une,amor  
Sinto seu amor em cada gesto,amor  
Estar com ela é minha felicidade,amor  
O amor é o caminho para a paz,amor  
Sinto que o amor nos transforma,amor  
Seu abraço é meu lar,amor  
O amor é a melhor coisa da vida,amor  
Sinto que ela é minha alma gêmea,amor  
O amor nos faz sonhar juntos,amor  
Cada momento com ela é mágico,amor  
O amor é a luz que ilumina minha vida,amor  
Sinto seu sorriso como um raio de sol,amor  
Estar com ela é a minha alegria,amor  
O amor é a base do nosso mundo,amor  
Sinto que nosso amor é eterno,amor  
Seu amor me dá forças para seguir,amor  
O amor é a razão do meu ser,amor  
Sinto que ela é minha felicidade,amor  
O amor nos une para sempre,amor  
Cada gesto dela é um ato de amor,amor  
O amor é minha maior inspiração,amor  
Sinto seu calor em cada abraço,amor  
Estar com ela é meu maior sonho,amor  
O amor é a essência do meu coração,amor  
Sinto que nosso amor é infinito,amor  
Seu beijo é meu refúgio,amor  
O amor é a luz que nunca se apaga,amor  
Sinto que ela é minha paz,amor  
O amor nos guia na escuridão,amor  
Cada momento com ela é um presente,amor  
O amor é a força que nos mantém unidos,amor  
Sinto seu amor em cada instante,amor  
Estar com ela é viver a felicidade,amor  
O amor é a base do meu mundo,amor  
Sinto que nosso amor é verdadeiro,amor  
Seu abraço é meu abrigo,amor  
O amor é a razão da minha existência,amor  
Sinto que ela é minha eterna paixão,amor  
O amor nos faz sorrir mesmo nos dias difíceis,amor  
Cada palavra dela é doce como mel,amor  
O amor é minha maior bênção,amor  
Sinto seu sorriso como um raio de luz,amor  
Estar com ela é meu maior presente,amor  
O amor é a chama que nunca se apaga,amor  
Sinto que nosso amor é eterno e puro,amor  
Seu amor é meu maior tesouro,amor  
O amor é a força que me move,amor  
Sinto que ela é minha vida,amor  
O amor nos une além do tempo,amor  
Cada gesto dela é puro carinho,amor  
O amor é a luz que ilumina meu caminho,amor  
Sinto seu abraço como um aconchego,amor  
Estar com ela é a minha felicidade completa,amor  
O amor é a base de tudo que sou,amor  
Sinto que nosso amor é infinito e verdadeiro,amor  
Seu sorriso me traz paz,amor  
O amor que sinto por você cresce a cada dia,amor  
Estar com você é como viver um sonho,amor  
Seu carinho me faz esquecer do mundo,amor  
Amar você é minha maior alegria,amor  
Com você a vida tem mais cor,amor  
O tempo para quando estou ao seu lado,amor  
Seu toque acalma meu coração,amor  
Te amar é fácil como respirar,amor  
Cada momento ao seu lado é precioso,amor  
O amor mora no seu olhar,amor  
Você é meu porto seguro,amor  
Me sinto completo quando estou com você,amor  
Seu abraço é onde eu quero viver,amor  
Nada é mais verdadeiro do que o que sinto por você,amor  
Com você aprendi o que é amar de verdade,amor  
Você ilumina meus dias,amor  
Nosso amor é a melhor parte da minha vida,amor  
Você é o motivo do meu sorriso,amor  
Meu coração bate por você,amor  
Amar você me faz ser uma pessoa melhor,amor  
Seu amor me transforma,amor  
Meu lugar favorito é ao seu lado,amor  
A vida é mais leve com você por perto,amor  
Te amar é a minha missão diária,amor  
Você é minha paz em meio ao caos,amor  
Sinto que nasci para amar você,amor  
Tudo faz sentido quando você está comigo,amor  
Você me faz acreditar no amor todos os dias,amor  
Nada se compara ao que sinto por você,amor  
Seu amor é meu bem mais precioso,amor  
Quero envelhecer ao seu lado,amor  
Cada detalhe seu me encanta,amor  
O amor que temos é único,amor  
Você é o meu sonho realizado,amor  
Quando estou com você me sinto em casa,amor  
Seu beijo é meu combustível,amor  
Você me completa como ninguém,amor  
Nosso amor é eterno enquanto vivermos,amor  
Com você eu posso ser eu mesmo,amor  
Você é meu melhor destino,amor  
Amar você é meu maior orgulho,amor  
Sua presença muda tudo para melhor,amor  
Você é a luz dos meus dias escuros,amor  
A cada olhar seu eu me apaixono mais,amor  
Não existe lugar melhor do que seus braços,amor  
Você é tudo que eu sempre procurei,amor  
Com você até o silêncio tem significado,amor  
Seu amor me dá forças para enfrentar o mundo,amor  
A felicidade tem seu nome,amor  
Meu coração escolheu você,amor  
Você é meu lar em qualquer lugar,amor  
Te amar é viver o melhor da vida,amor  
Cada gesto seu me conquista,amor  
Nosso amor é feito de detalhes que só nós entendemos,amor  
Você é meu sol nos dias nublados,amor  
Nada me faz mais feliz do que estar com você,amor  
A melhor parte do meu dia é estar com você,amor  
Com você descobri o verdadeiro significado do amor,amor  
Seu amor é a melhor coisa que me aconteceu,amor  
Te amar é o que me move todos os dias,amor  
Você é meu verso favorito,amor  
A vida ganhou mais sentido com você,amor  
Seu amor é o que me mantém de pé,amor  
Estar com você é um presente divino,amor  
Você faz o tempo parar só com um olhar,amor  
O amor é simples quando estou com você,amor  
Você me faz querer ser melhor,amor  
Cada lembrança ao seu lado é inesquecível,amor  
Te amar é minha certeza diária,amor  
Você é meu abrigo nos dias difíceis,amor  
Meu coração encontrou sua metade em você,amor  
Não sei mais viver sem seu amor,amor  
Tudo que quero está no seu sorriso,amor  
Seu amor me deu um novo sentido para viver,amor  
Você é minha escolha todos os dias,amor  
Nosso amor é feito de cumplicidade e carinho,amor  
Você é minha inspiração para sorrir,amor  
Seu jeito me fascina,amor  
O mundo é mais bonito com você,amor  
Você é minha paz e meu caos,amor  
Você me faz sentir que tudo é possível,amor  
O amor é mais doce com você,amor  
Seu toque me arrepia,amor  
Amar você é leve como o vento,amor  
Você é a melhor parte de mim,amor  
Nosso amor é a melhor história que já vivi,amor  
Com você aprendi que amar é cuidar,amor  
Você me faz sentir amado todos os dias,amor  
O amor mora na sua voz,amor  
Sua risada é música para meu coração,amor  
Te amar é meu refúgio seguro,amor  
Você é meu destino preferido,amor  
Você é a poesia que faltava na minha vida,amor  
Me perco no seu olhar e me encontro no seu amor,amor  
Seu amor me acolhe,amor  
Com você cada dia é especial,amor  
Não existe tempo ruim com você,amor  
Você é minha calmaria,amor  
Te amar é meu maior presente,amor  
Nosso amor é puro como um amanhecer,amor  
Seu amor é meu norte,amor  
Cada momento ao seu lado é inesquecível,amor  
Você me faz querer pausar o tempo,amor  
Sua presença é conforto para minha alma,amor  
Você é meu início meio e fim,amor  
Nada é mais forte do que o que sinto por você,amor  
Você é minha sorte,amor  
Te amar é minha rotina favorita,amor  
O amor é mais bonito quando é com você,amor  
Com você tudo floresce,amor  
Você me ensina sobre o amor todos os dias,amor  
Você é minha certeza em um mundo de dúvidas,amor  
Seu amor é meu abrigo,amor  
Você me dá motivos para acreditar,amor  
Você é a parte que faltava em mim,amor  
Seu amor me faz transbordar,amor  
Com você até o impossível parece fácil,amor  
Seu amor me guia,amor  
Você é minha razão de agradecer,amor  
Amar você é o meu melhor hábito,amor  
Você acalma minhas tempestades,amor  
O tempo passa devagar quando estou com você,amor  
Seu jeito me desmonta e me reconstrói,amor  
Você me faz querer parar o mundo só pra te olhar,amor  
Com você descobri o que é ser inteiro,amor  
Te amar me fez entender a beleza da vida,amor  
Você é minha âncora e meu vento,amor  
Você é a brisa nos meus dias quentes,amor  
Estar com você é como ouvir minha música favorita,amor  
Seu amor é meu equilíbrio,amor  
Você é a razão da minha esperança,amor  
Com você não existe solidão,amor  
Seu amor me dá asas,amor  
Você me faz ver o mundo com outros olhos,amor  
Te amar é minha liberdade,amor  
Você me faz esquecer todos os medos,amor  
Amar você é a coisa mais natural do mundo,amor  
Seu sorriso tem o poder de curar meus dias,amor  
Você me faz acreditar em finais felizes,amor  
Com você tudo é mais leve,amor  
Seu carinho é meu combustível diário,amor  
Você é meu hoje e meu sempre,amor  
Seu amor é o lar que meu coração escolheu,amor  
Estar com você é onde eu pertenço,amor  
Te amar me completa,amor  
Você é meu melhor pensamento,amor  
Seu amor é meu lugar de paz,amor  
Tudo em você me encanta,amor  
Te amar é viver em poesia,amor  
Você é a razão da minha felicidade,amor  
Seu toque acende meu coração,amor  
Te encontrar mudou minha vida,amor  
Nosso amor é maior que qualquer medo,amor  
Você é meu ponto de partida e chegada,amor  
Seu amor me trouxe de volta à vida,amor  
Estar com você é um milagre diário,amor  
Você me fez acreditar no para sempre,amor  
Com você tudo se encaixa,amor  
Seu jeito me faz derreter,amor  
Te amar é minha melhor escolha,amor  
Nada é mais certo do que meu amor por você,amor  
Você é a minha verdade mais bonita,amor  
Seu amor é meu silêncio em paz,amor  
Você é a resposta que eu sempre busquei,amor  
Te amar me fez crescer,amor  
Com você encontrei meu lugar no mundo,amor  
Seu sorriso é meu lar,amor  
Você é a luz no fim do meu túnel,amor  
Nosso amor é a melhor coisa que já vivi,amor  
Você me acolhe com o olhar,amor  
Seu amor é o que me mantém de pé,amor  
Te amar é a forma mais pura de viver,amor  
Você me ensina a amar com calma,amor  
Com você o tempo voa e vale a pena,amor  
Seu jeito me encanta todos os dias,amor  
Você é minha direção certa,amor  
Te amar é tão natural quanto respirar,amor  
Seu amor é a resposta de todas as perguntas,amor  
Com você aprendi que amor também é amizade,amor  
Você é meu laço eterno,amor  
Seu abraço é onde me encontro,amor  
Você é meu descanso em dias difíceis,amor  
Amar você é o que faz minha vida ter sentido,amor  
Seu olhar é o meu melhor refúgio,amor  
Você é a paz que eu sempre procurei,amor  
Te amar me dá forças para ser quem sou,amor  
Seu amor me cura em silêncio,amor  
Você é a calmaria no meio do caos,amor  
Nosso amor é a minha certeza,amor  
Você é meu sonho acordado,amor  
Seu carinho me devolve os sorrisos,amor  
Você é minha parte favorita do dia,amor  
Amar você é leveza e verdade,amor  
Seu amor é a bússola do meu coração,amor  
Você me mostra o que é amar com leveza,amor  
